\\lambda \\epsilon
\\mu \\chi
\\eta \\theta
\\tau \\varphi
\\rho \\omega
\\alpha \\gamma
o \\psi
\\kappa \\beta
\\delta \\iota
\\pi \\sigma
new_team new_team
new_team new_team
